ref	value	footprint
C1	22u	
C2	22u	
C3	100p	
C4	100n	
C5	100n	
C6	2.2n	
C7	100p	
C8	100p	
C9	2.2n 1%	
C10	18p	
C11	100p	
D1	BAV70	
JP1	CONN_16	
JP2	CONN_1	
JP3	CONN_1	
Q1	BCM847	
Q2	MMBF4391LT1G	
R1	10K	
R2	100K	
R3	10	
R4	10	
R5	1M	
R6	1M	
R7	91K	
R8	56K	
R9	10K	
R10	56K	
R11	39K	
R12	56K	
R13	56K	
R14	1M	
R15	56K	
R16	1.5M	
R17	10K	
R18	20K	
R19	10K	
R20	15K	
R21	15K	
R22	56K	
R23	680	
R24	15K	
R25	33K	
R26	3.3K	
R27	1K	
R28	1K	
R29	1K	
R30	100K	
R31	100K	
R32	100K	
TC1	1K 3300ppm/K	
TP1	100K	
TP2	20K	
U1	TL074	
U2	TL074	
U3	CA3140	
U4	LM311M	
